,min,max,std,mean
0,0.0,62.157856,7.8969903,32.565086
1,0.0,48.212578,8.238744,13.151739
2,12.000876,106.66453,10.576858,61.40063
3,0.0,33.639107,6.0189767,7.293079
4,0.0,63.341137,8.131674,29.766043
5,0.0,40.065376,5.5044904,2.6657128
6,0.0,67.7852,8.2549,32.134747
7,0.0,65.4768,8.809862,21.65996
8,0.6070453,86.42415,10.61729,40.544514
9,0.0,54.82605,8.474193,23.627464
10,0.0,78.286095,10.845557,41.861324
11,8.576066,95.03252,9.810973,48.900364
12,0.0,27.83624,5.306,5.21361
13,0.0,72.540115,8.626516,25.144964
14,0.0,26.76109,4.270327,1.8823754
15,0.0,60.2454,7.203201,11.191556
16,0.0,90.274315,10.684757,42.26849
17,0.0,39.87039,5.2885566,2.7520003
18,0.0,43.264774,7.8172784,8.23467
19,0.0,63.09041,7.4342203,24.016012
20,0.0,44.574665,7.7985497,11.93643
21,18.250786,105.68951,10.536465,61.21432
22,0.0,30.840246,5.5691924,5.366415
23,0.0,72.36791,8.576139,26.683142
24,0.0,38.392982,4.533603,2.000088
25,0.0,55.34003,8.141813,21.731224
26,13.606532,132.69646,13.804717,73.60127
27,4.5696673,77.89419,8.075098,39.452843
28,12.781987,107.17665,12.403677,59.519215
29,0.0,74.94387,8.929511,34.26856
30,0.0,74.875114,9.776351,36.8739
31,0.0,31.29277,4.976416,2.6765194
32,0.0,62.035194,7.6943164,24.460087
33,0.0,53.536026,8.100343,19.668873
34,21.62601,157.05203,17.674864,81.15728
35,0.0,40.881325,7.184707,15.021833
36,0.0,79.45637,9.8676605,37.513206
37,0.5624901,90.95145,10.648997,39.104893
38,0.0,57.05901,8.367639,18.426277
39,7.6895647,97.1244,10.511006,52.237476
40,1.6346655,110.91974,20.193802,49.4684
41,0.0,26.789934,5.3137846,4.9847755
42,0.0,29.293427,5.658631,6.0356894
43,28.215199,135.63283,13.5880995,80.87192
44,0.0,58.520702,8.375198,27.48359
45,0.0,83.48055,10.922842,37.707066
46,0.0,75.97516,9.218334,33.966797
47,16.60505,101.22268,10.356612,62.046925
48,0.0,67.50584,8.501463,29.48608
49,0.0,44.826008,7.540462,11.577002
50,0.0,23.809729,4.0953565,2.4005554
51,0.0,39.603806,6.281752,5.939001
52,0.0,39.345654,6.6932087,4.5869484
53,9.520209,83.76809,9.561315,47.800655
54,0.0,35.39462,5.0061393,3.311116
55,4.4079647,75.519905,8.609247,37.3201
56,0.0,30.695736,4.700258,2.824484
57,1.2178667,77.42625,8.670828,34.32019
58,7.961245,97.321526,11.549356,51.868095
59,0.0,88.06304,11.9409075,43.02459
60,0.0,40.80656,6.163723,4.5967073
61,1.6683044,70.38061,7.522469,29.175617
62,0.0,88.88482,11.710613,40.713
63,0.0,86.675125,9.196487,35.614662
64,0.0,75.574615,9.507829,33.98553
65,0.0,74.795425,9.967389,26.839695
66,0.0,62.64645,7.961756,31.026268
67,9.561811,88.96601,10.734554,51.44076
68,7.056549,72.787094,8.227747,37.071606
69,0.0,39.5566,6.4051595,8.472219
70,0.3029927,85.00998,10.845126,45.81491
71,0.0,70.00585,8.607997,31.615818
72,0.0,34.49274,4.2557287,2.2430232
73,0.0,27.639244,4.1269016,2.1926763
74,7.383428,85.99538,9.796675,45.50827
75,0.0,28.03069,5.9587584,5.8321123
76,0.0,52.056927,7.2025933,12.959804
77,0.0,34.181015,5.753512,4.454301
78,0.0,73.487816,8.691317,35.503185
79,14.582968,120.51573,13.45027,66.652
80,0.0,64.57111,8.715204,23.73279
81,0.0,64.34211,8.625702,28.402817
82,0.0,83.45049,11.012564,37.06538
83,0.0,100.52655,11.315,44.69067
84,0.0,30.035736,4.1681724,1.8639657
85,5.629894,90.16803,10.645696,49.018494
86,0.0,89.28636,11.370459,40.638294
87,0.0,48.702805,7.437416,12.350779
88,0.0,63.326958,8.527209,20.413074
89,0.0,38.89357,6.899836,6.791826
90,0.0,64.22987,7.5776677,23.286907
91,0.0,18.931194,3.4212923,1.5492092
92,0.0,42.33045,7.0823584,15.217865
93,0.0,26.19855,4.5462365,2.9007788
94,10.61851,93.27357,10.890321,47.98575
95,0.0,40.531235,6.591853,8.822879
96,0.0,50.1011,7.9780602,16.714092
97,0.0,46.06377,7.860943,7.327544
98,0.0,62.75042,8.250727,28.4853
99,0.0,32.865025,5.8701234,6.9945436
100,20.26331,89.134865,7.8693614,51.76455
101,12.8850565,96.66065,9.937109,56.48563
102,0.0,40.165016,5.4079714,5.443174
103,7.728245,99.59198,11.097384,55.126064
104,0.0,71.82324,8.985775,26.726297
105,5.2051444,77.057304,8.597456,35.402065
106,0.0,27.832905,4.800821,3.344495
107,4.222396,93.72303,10.471696,45.895874
108,0.0,50.76397,7.7840047,14.43664
109,3.8390362,90.348595,11.1455345,43.303856
110,0.0,41.04853,6.5213475,7.660321
111,0.0,74.16954,9.445718,30.659855
112,0.0,69.623116,8.867036,31.87255
113,0.0,85.78051,10.4306135,45.07803
114,0.0,32.877934,5.7232323,4.4596896
115,0.66564447,74.398026,7.3198223,31.337448
116,3.7363741,82.1938,9.815955,36.252483
117,11.800077,95.92071,10.359033,55.434704
118,4.1181493,75.728424,8.393331,34.930416
119,0.0,69.89724,8.992672,30.278742
120,17.771505,93.590675,10.130096,54.334984
121,3.6808832,79.057755,9.439893,38.90873
122,0.0,57.78992,7.320508,20.739658
123,0.0,35.801296,5.5000668,5.2922525
124,0.79421055,94.510765,10.0538645,44.05408
125,0.0,46.898342,6.257303,18.85646
126,0.0,34.034798,4.895332,3.011235
127,0.0,84.57018,9.798142,42.171165
